Scan	  Chan 1	

1	-4.16626	
2	-4.17358	
3	-4.12415	
4	-4.07532	
5	-4.20105	
6	-3.77533	
7	-4.15009	
8	-4.19922	
9	-4.15833	
10	-4.13422	
11	-4.19067	
12	-4.01581	
13	-4.23676	
14	-4.06616	
15	-3.42804	
16	-4.13025	
17	-4.09973	
18	-4.14368	
19	-4.1922	
20	-4.12476	
21	-4.2218	
22	-4.01794	
23	-4.12537	
24	-4.12811	
25	-4.0332	
26	-4.04388	
27	-4.13391	
28	-4.01276	
29	-4.14368	
30	-4.09576	
31	-4.15955	
32	-4.19312	
33	-4.21356	
34	-4.11652	
35	-4.14185	
36	-4.11102	
37	-4.12811	
38	-4.24896	
39	-4.18518	
40	-4.17511	
41	-4.1568	
42	-3.96332	
43	-4.12842	
44	-4.039	
45	-4.2688	
46	-4.16901	
47	-4.13361	
48	-4.13361	
49	-4.15894	
50	-4.08875	
51	-4.08936	
52	-4.00208	
53	-4.09668	
54	-4.10095	
55	-4.1748	
56	-4.03503	
57	-4.0918	
58	-4.11469	
59	-4.16138	
60	-4.16473	
61	-4.15619	
62	-4.1037	
63	-4.13666	
64	-4.198	
65	-4.11224	
66	-4.18091	
67	-4.15985	
68	-4.0567	
69	-4.14154	
70	-4.19098	
71	-4.03625	
72	-4.13788	
73	-4.12415	
74	-4.22577	
75	-4.10614	
76	-4.01825	
77	-4.16687	
78	-4.06708	
79	-4.11896	
80	-4.09515	
81	-4.26941	
82	-4.1217	
83	-4.15253	
84	-4.23187	
85	-4.14856	
86	-4.15466	
87	-3.9801	
88	-4.13147	
89	-4.22485	
90	-4.11835	
91	-4.1806	
92	-4.15802	
93	-4.12628	
94	-4.1275	
95	-4.14215	
96	-4.1214	
97	-4.11804	
98	-4.11377	
99	-4.1452	
100	-3.93219	
101	-4.11987	
102	-4.27734	
103	-4.1806	
104	-4.19739	
105	-4.01611	
106	-4.11621	
107	-4.23615	
108	-4.14276	
109	-4.18243	
110	-4.04907	
111	-4.12415	
112	-4.1507	
113	-4.0329	
114	-4.12109	
115	-4.07471	
116	-4.11163	
117	-4.14185	
118	-4.17816	
119	-4.18793	
120	-4.17969	
121	-4.10767	
122	-4.06586	
123	-4.10858	
124	-4.16718	
125	-3.95813	
126	-4.21173	
127	-4.11621	
128	-4.10126	
129	-4.16565	
130	-4.01062	
131	-4.13605	
132	-4.11987	
133	-4.16779	
134	-4.19739	
135	-4.09332	
136	-4.13666	
137	-4.12079	
138	-4.07898	
139	-4.1861	
140	-4.04236	
141	-4.20746	
142	-4.13391	
143	-4.1571	
144	-4.11743	
145	-4.21631	
146	-4.22729	
147	-4.08295	
148	-4.16687	
149	-4.17969	
150	-4.15894	
151	-4.21326	
152	-3.98071	
153	-4.15161	
154	-3.66364	
155	-4.05029	
156	-4.14246	
157	-4.15375	
158	-4.19586	
159	-4.00085	
160	-4.12323	
161	-4.0271	
162	-4.16473	
163	-4.04449	
164	-4.1098	
165	-4.01001	
166	-4.27307	
167	-4.05701	
168	-3.90198	
169	-4.15009	
170	-4.16565	
171	-4.08478	
172	-4.1806	
173	-4.1272	
174	-4.18488	
175	-4.09363	
176	-4.31305	
177	-4.22638	
178	-4.08417	
179	-4.16016	
180	-4.11163	
181	-4.12415	
182	-4.03107	
183	-4.06708	
184	-4.14795	
185	-4.08875	
186	-4.18884	
187	-3.76923	
188	-4.1452	
189	-4.15863	
190	-4.11224	
191	-4.10156	
192	-4.12109	
193	-4.18671	
194	-4.10156	
195	-4.16992	
196	-4.1391	
197	-4.15985	
198	-4.16779	
199	-4.11011	
200	-4.14398	
201	-4.17267	
202	-4.11469	
203	-4.21173	
204	-4.17114	
205	-4.10736	
206	-4.19281	
207	-4.02679	
208	-4.15436	
209	-4.1507	
210	-4.12628	
211	-3.84979	
212	-4.1156	
213	-4.12079	
214	-4.10492	
215	-4.09485	
216	-3.94653	
217	-4.21509	
218	-4.13177	
219	-4.15649	
220	-4.11957	
221	-4.1333	
222	-4.15405	
223	-4.12567	
224	-4.14093	
225	-4.1687	
226	-4.11285	
227	-4.133	
228	-4.1507	
229	-4.10919	
230	-4.07593	
231	-3.78357	
232	-4.12231	
233	-4.21051	
234	-3.66486	
235	-4.1037	
236	-4.1571	
237	-4.1153	
238	-4.1095	
239	-4.13513	
240	-4.16229	
241	-4.18671	
242	-4.20502	
243	-3.85895	
244	-4.17664	
245	-4.13452	
246	-4.13483	
247	-4.16931	
248	-4.14642	
249	-4.15649	
250	-4.17877	
251	-4.18121	
252	-4.22699	
253	-4.13696	
254	-4.24927	
255	-4.24469	
256	-4.09668	
257	-4.12933	
258	-4.08386	
259	-4.17053	
260	-4.20746	
261	-4.18854	
262	-4.02283	
263	-4.15283	
264	-4.08356	
265	-4.15985	
266	-4.02557	
267	-4.20166	
268	-4.15863	
269	-4.14093	
270	-4.08691	
271	-4.12872	
272	-4.12537	
273	-4.09515	
274	-4.27094	
275	-4.15131	
276	-4.14093	
277	-4.22546	
278	-4.15558	
279	-4.14093	
280	-4.17328	
281	-4.14276	
282	-4.25629	
283	-4.12506	
284	-4.22791	
285	-4.14276	
286	-4.11835	
287	-4.09668	
288	-4.0976	
289	-4.05731	
290	-4.19525	
291	-4.20471	
292	-4.16046	
293	-3.90686	
294	-4.08783	
295	-4.16809	
296	-4.18243	
297	-4.07501	
298	-4.16229	
299	-4.16107	
300	-4.11713	
301	-4.0741	
302	-4.11713	
303	-4.23828	
304	-4.08875	
305	-4.10767	
306	-4.12415	
307	-4.25964	
308	-4.11743	
309	-4.22882	
310	-4.11163	
311	-4.1568	
312	-4.14124	
313	-4.09424	
