Scan	  Chan 1	

1	-3.71735	
2	-3.66241	
3	-4.58221	
4	-3.57849	
5	-4.08691	
6	-3.96362	
7	-4.05121	
8	-3.63525	
9	-4.30603	
10	-3.68408	
11	-4.03259	
12	-3.78571	
13	-4.05426	
14	-3.43201	
15	-3.92578	
16	-3.61847	
17	-3.66516	
18	-4.21906	
19	-3.54034	
20	-4.07104	
21	-3.88977	
22	-3.90991	
23	-3.85315	
24	-4.61456	
25	-3.5144	
26	-3.86993	
27	-3.98834	
28	-3.88245	
29	-3.17352	
30	-3.55713	
31	-3.90381	
32	-4.14337	
33	-4.01703	
34	-3.7616	
35	-4.14124	
36	-3.50555	
37	-3.71185	
38	-3.69354	
39	-3.87146	
40	-3.78082	
41	-4.34479	
42	-1.27319	
43	-3.99689	
44	-3.53333	
45	-2.36206	
46	-3.59955	
47	-3.93097	
48	-3.96088	
49	-3.72742	
50	-3.86292	
51	-3.98651	
52	-4.00299	
53	-3.6441	
54	-4.23248	
55	-3.58704	
56	-3.87421	
57	-3.98926	
58	-3.45978	
59	-3.74451	
60	-3.54126	
61	-3.85895	
62	-4.50806	
63	-3.98315	
64	-3.53821	
65	-3.78815	
66	-3.86871	
67	-3.49518	
68	-3.2431	
69	-3.95538	
70	-3.96271	
71	-3.97461	
72	-3.90289	
73	-4.04419	
74	-3.76678	
75	-4.20197	
76	-3.66333	
77	-3.02338	
78	-3.72498	
79	-3.51959	
80	-3.86841	
81	-3.78479	
82	-4.75006	
83	-3.73413	
84	-3.77441	
85	-3.80005	
86	-4.20105	
87	-3.62732	
88	-4.1095	
89	-3.59924	
90	-4.4693	
91	-3.27026	
92	-3.71887	
93	-4.07196	
94	-3.79608	
95	-3.82416	
96	-3.5202	
97	-4.0097	
98	-3.86902	
99	-3.46161	
100	-3.86414	
101	-3.91388	
102	-3.28094	
103	-3.79578	
104	-3.49396	
105	-4.03259	
106	-3.93677	
107	-4.20563	
108	-3.85315	
109	-4.3399	
110	-3.77106	
111	-3.85468	
112	-3.93799	
113	-3.70239	
114	-4.32709	
115	-3.81378	
116	-3.47351	
117	-4.26819	
118	-3.52448	
119	-4.01459	
120	-3.76678	
121	-3.99902	
122	-3.82141	
123	-3.53699	
124	-4.82452	
125	-3.84918	
126	-4.21936	
127	-3.62946	
128	-3.87604	
129	-3.70483	
130	-3.74298	
131	-3.71216	
132	-5.39062	
133	-3.78387	
134	-3.52112	
135	-3.91937	
136	-4.36584	
137	-0.0665283	
138	-3.69476	
139	-3.99567	
140	-4.02985	
141	-3.56628	
142	-3.89343	
143	-3.69202	
144	-3.76709	
145	-4.58588	
146	-3.42834	
147	-3.95905	
148	-4.10553	
149	-3.61877	
150	-4.07135	
151	-3.26599	
152	-4.11285	
153	-3.92242	
154	-3.65784	
155	-4.11865	
156	-3.67676	
157	-3.88885	
158	-3.91449	
159	-4.01703	
160	-4.50806	
161	-3.39783	
162	-3.76526	
163	-4.23462	
164	-3.53577	
165	-3.57422	
166	-3.70728	
167	-4.17206	
168	-4.17175	
169	-3.98651	
170	-3.38013	
171	-4.29077	
172	-4.06403	
173	-3.34747	
174	-3.71887	
175	-3.79639	
176	-3.84308	
177	-4.31335	
178	-3.42285	
179	-3.65417	
180	-3.82141	
181	-4.09851	
182	-3.69965	
183	-4.02496	
184	-3.78571	
185	-3.7735	
186	-3.72559	
187	-3.62274	
188	-3.8092	
189	-3.86017	
190	-3.97308	
191	0.853577	
192	-3.90778	
193	-3.97919	
194	-4.25812	
195	-3.75031	
196	-3.86871	
197	-3.90991	
198	-3.7674	
199	-4.8465	
200	-3.18787	
201	-3.59619	
202	-3.75092	
203	-4.09241	
204	-3.84796	
205	-2.96387	
206	-3.84186	
207	-3.88397	
208	-3.80341	
209	-3.99567	
210	-3.78998	
211	-3.90198	
212	-4.57642	
213	-3.59344	
214	-3.84338	
215	-4.51965	
216	-4.20105	
217	-3.84033	
218	-3.02704	
219	-3.2962	
220	-3.99994	
221	-4.15497	
222	-4.16626	
223	-4.02161	
224	-3.69812	
225	-3.81531	
226	-3.30139	
227	-3.91815	
228	-3.51837	
229	-4.29688	
230	-3.7323	
231	-3.92059	
232	-3.44269	
233	-3.77686	
234	-4.19373	
235	-3.39111	
236	-4.01794	
237	-3.71307	
238	-3.58704	
239	-3.93005	
240	-3.86322	
241	-3.61755	
242	-3.55499	
243	-4.1571	
244	-3.95355	
245	-3.83423	
246	-3.69934	
247	-3.72864	
248	-3.52783	
249	-4.19952	
250	-3.7735	
251	-3.93188	
252	-3.61694	
253	-3.87848	
254	-3.85986	
255	0.852661	
256	-4.01001	
257	-4.66614	
258	-3.52448	
259	-3.24799	
260	-3.91052	
261	-4.24133	
262	-3.89221	
263	-3.91724	
264	-3.47656	
265	-3.92944	
266	-4.38354	
267	-4.03015	
268	-3.79852	
269	-4.42474	
270	-3.78296	
271	-4.16809	
272	-4.10767	
273	-3.74176	
274	-3.65936	
275	-4.05273	
276	-3.66394	
277	-2.47345	
278	-3.60107	
279	-4.10126	
280	-3.64532	
281	-4.12903	
282	-3.80463	
283	-3.73657	
284	-3.86047	
285	-3.59314	
286	-3.92639	
287	-3.15125	
288	-3.95111	
289	-3.99536	
290	-2.92969	
291	-3.56537	
292	-3.73627	
293	-4.16229	
294	-4.25598	
295	-3.53973	
296	-3.50647	
297	-3.76648	
298	-3.98071	
299	-3.85803	
300	-3.54279	
301	-3.81775	
302	-4.1684	
303	-3.47229	
304	-4.18945	
305	-3.84949	
306	-4.00574	
307	-3.44788	
308	-3.73322	
309	-3.73566	
310	-3.80249	
311	-4.35303	
312	-3.5788	
313	-3.53577	
314	-3.76831	
315	-4.05823	
316	-4.05853	
317	-3.78174	
318	-3.36456	
319	-3.87268	
320	-3.93616	
321	-4.17755	
322	-3.76251	
323	-3.39264	
324	-4.35699	
325	-3.4491	
326	-3.79333	
327	-4.78333	
328	-3.31512	
329	-3.95599	
330	-3.89069	
331	-3.9267	
332	-3.51044	
333	-3.75244	
334	-4.1098	
335	-3.6673	
336	-3.93799	
337	-3.79974	
338	-4.10492	
339	-4.04358	
340	-3.93982	
341	-3.47015	
342	-3.82172	
343	-4.28009	
344	-3.48022	
345	-3.82111	
346	-3.63892	
347	-4.133	
348	-3.75854	
349	-3.75	
350	-3.80829	
351	-3.49182	
352	-4.3512	
353	-3.68347	
354	-3.76648	
355	-3.69537	
356	-3.34442	
357	-4.08173	
358	-3.68958	
359	-4.03534	
360	-3.92456	
361	-3.94196	
362	-3.45642	
363	-3.76587	
364	-4.08081	
365	-3.71857	
366	-3.44879	
367	-3.68195	
368	-4.12659	
369	-3.88153	
370	-4.31366	
371	-3.76434	
372	-3.34717	
373	-3.82568	
374	-3.78632	
375	-3.97461	
376	-3.909	
377	-4.14001	
378	-4.40155	
379	-3.98346	
380	-3.4848	
381	-3.27454	
382	-3.91724	
383	-3.57452	
384	-3.98285	
385	-3.88489	
386	-3.98895	
387	-3.56354	
388	-3.862	
389	-4.13025	
390	-3.77136	
391	-3.98773	
392	-3.87665	
393	-3.33588	
394	-3.81226	
395	-3.94257	
396	-3.85468	
397	-4.24194	
398	-3.57147	
399	-3.95325	
400	-3.88855	
401	-3.75122	
402	-4.18304	
403	-3.86169	
404	-4.03564	
405	-3.96362	
406	-2.41852	
407	-3.70026	
408	-3.703	
409	-3.52051	
410	-4.04816	
411	-3.59711	
412	-4.1153	
413	-3.59955	
414	-3.81927	
415	-3.82385	
416	-4.54254	
417	-3.43262	
418	-3.61908	
419	-4.07928	
420	-3.97736	
421	-3.95813	
422	-3.90411	
423	-3.99048	
424	-4.13849	
425	-4.10736	
426	-4.3457	
427	-3.61664	
428	-4.18457	
429	-3.52509	
430	-3.50616	
431	-4.39514	
432	-3.57391	
433	-3.93463	
434	-3.83698	
435	-3.85895	
436	-4.06281	
437	-3.81042	
438	-3.84674	
439	-3.67889	
440	-3.17322	
441	-3.79242	
442	-3.44421	
443	-3.9682	
444	-4.00604	
445	-3.90076	
446	-3.54004	
447	-3.71826	
448	-4.0509	
449	-3.65936	
450	-3.6026	
451	-4.6344	
452	-3.87451	
453	-3.96393	
454	-4.03778	
455	-3.71948	
456	-4.62158	
457	-3.62549	
458	-4.09973	
459	-3.51013	
460	-4.3042	
461	-3.56567	
462	-3.7851	
463	-3.88885	
464	-4.2691	
465	-4.43329	
466	-3.79089	
467	-3.65204	
468	-3.91388	
469	-3.91693	
470	-3.41766	
471	-4.13574	
472	-3.89954	
473	-2.30804	
474	-3.51807	
475	-3.67889	
476	-3.78143	
477	-3.72467	
478	-3.638	
479	-3.80981	
480	-3.9386	
